question,references,corpus_id
What conditions determine whether the `_ClassBuilder` sets its `_on_setattr` attribute to `None`?,"[{""content"": ""elif on_setattr in (\n            _DEFAULT_ON_SETATTR,\n            setters.validate,\n            setters.convert,\n        ):\n            has_validator = has_converter = False\n            for a in attrs:\n                if a.validator is not None:\n                    has_validator = True\n                if a.converter is not None:\n                    has_converter = True\n\n                if has_validator and has_converter:\n                    break\n            if (\n                (\n                    on_setattr == _DEFAULT_ON_SETATTR\n                    and not (has_validator or has_converter)\n                )\n                or (on_setattr == setters.validate and not has_validator)\n                or (on_setattr == setters.convert and not has_converter)\n            ):\n                # If class-level on_setattr is set to convert + validate, but\n                # there's no field to convert or validate, pretend like there's\n                # no on_setattr.\n                self._on_setattr = None"", ""start_index"": 370209, ""end_index"": 371220}]",attrs
What effects does setting `slots=True` have according to the comments in the code?,"[{""content"": ""        - *slots=True*\n\n          Usually, this has only upsides and few visible effects in everyday\n          programming. But it *can* lead to some surprising behaviors, so\n          please make sure to read :term:`slotted classes`"", ""start_index"": 466157, ""end_index"": 466390}]",attrs
What is the default behavior of the `flag_value` option related to environment variables as of version 8.2?,"[{""content"": "".. versionchanged:: 8.2\n        ``envvar`` used with ``flag_value`` will always use the ``flag_value``,\n        previously it would use the value of the environment variable"", ""start_index"": 350168, ""end_index"": 350341}]",click
How does the method `prompt_for_value` handle default values when prompting for boolean flags in a command's context?,"[{""content"": ""        if self.is_bool_flag:\n            return confirm(self.prompt, default)"", ""start_index"": 365351, ""end_index"": 365429}]",click
What class type does the `my_subclass` method return when called on instances of `C2` and `C2Slots`?,"[{""content"": ""@attr.s\n        class C2(C1):\n            def my_subclass(self):\n                return __class__"", ""start_index"": 227942, ""end_index"": 228039}, {""content"": ""@attr.s\n        class C2Slots(C1Slots):\n            def my_subclass(self):\n                return __class__"", ""start_index"": 228049, ""end_index"": 228156}, {""content"": ""assert non_slot_instance.my_subclass() is C2"", ""start_index"": 228514, ""end_index"": 228558}, {""content"": ""assert slot_instance.my_subclass() is C2Slots"", ""start_index"": 228567, ""end_index"": 228612}]",attrs
How does the `test_type_error_with_retain_type` method confirm that the correct TypeError message is raised when incorrect initialization parameters are passed to the `Coordinates` class that has been incorrectly initialized?,"[{""content"": ""def test_type_error_with_retain_type(self):\n        \""\""\""\n        Serialization that fails with TypeError leaves the error through if\n        they're not tuples.\n\n        See #1164\n        \""\""\""\n\n        message = \""__new__() missing 1 required positional argument (astuple)\""\n\n        class Coordinates(list):\n            def __init__(self, first, *rest):\n                if isinstance(first, list):\n                    raise TypeError(message)\n                super().__init__([first, *rest])\n\n        @attr.s\n        class A:\n            coords: Coordinates = attr.ib()\n\n        instance = A(Coordinates(50.419019, 30.516225))\n\n        with pytest.raises(TypeError, match=re.escape(message)):\n            attr.astuple(instance, retain_collection_types=True)\n"", ""start_index"": 20464, ""end_index"": 21219}]",attrs
How does the function `test_formatting_custom_type_metavar` define the metavariable for a custom type in a Click command?,"[{""content"": ""def test_formatting_custom_type_metavar(runner):\n    class MyType(click.ParamType):\n        def get_metavar(self, param: click.Parameter, ctx: click.Context):\n            return \""MY_TYPE\""\n\n    @click.command(\""foo\"")\n    @click.help_option()\n    @click.argument(\""param\"", type=MyType())\n    def cmd(param):\n        pass\n\n    result = runner.invoke(cmd, \""--help\"")\n    assert not result.exception\n    assert result.output.splitlines() == [\n        \""Usage: foo [OPTIONS] MY_TYPE\"",\n        \""\"",\n        \""Options:\"",\n        \""  --help  Show this message and exit.\"",\n    ]"", ""start_index"": 139246, ""end_index"": 139807}]",click
How does the `DateTime` class in the given code support handling multiple date formats for converting strings into `datetime` objects?,"[{""content"": ""class DateTime(ParamType):\n    \""\""\""The DateTime type converts date strings into `datetime` objects.\n\n    The format strings which are checked are configurable, but default to some\n    common (non-timezone aware) ISO 8601 formats.\n\n    When specifying *DateTime* formats, you should only pass a list or a tuple.\n    Other iterables, like generators, may lead to surprising results.\n\n    The format strings are processed using ``datetime.strptime``, and this\n    consequently defines the format strings which are allowed.\n\n    Parsing is tried using each format, in order, and the first format which\n    parses successfully is used.\n\n    :param formats: A list or tuple of date format strings, in the order in\n                    which they should be tried. Defaults to\n                    ``'%Y-%m-%d'``, ``'%Y-%m-%dT%H:%M:%S'``,\n                    ``'%Y-%m-%d %H:%M:%S'``.\n    \""\""\""\n\n    name = \""datetime\""\n\n    def __init__(self, formats: cabc.Sequence[str] | None = None):\n        self.formats: cabc.Sequence[str] = formats or [\n            \""%Y-%m-%d\"",\n            \""%Y-%m-%dT%H:%M:%S\"",\n            \""%Y-%m-%d %H:%M:%S\"",\n        ]"", ""start_index"": 385308, ""end_index"": 386435}, {""content"": ""def convert(\n        self, value: t.Any, param: Parameter | None, ctx: Context | None\n    ) -> t.Any:\n        if isinstance(value, datetime):\n            return value\n\n        for format in self.formats:\n            converted = self._try_to_convert_date(value, format)\n\n            if converted is not None:\n                return converted\n\n        formats_str = \"", \"".join(map(repr, self.formats))\n        self.fail(\n            ngettext(\n                \""{value!r} does not match the format {format}.\"",\n                \""{value!r} does not match the formats {formats}.\"",\n                len(self.formats),\n            ).format(value=value, format=formats_str, formats=formats_str),\n            param,\n            ctx,\n        )"", ""start_index"": 386920, ""end_index"": 387648}]",click
What is the resulting timezone name when using the `pendulum.from_timestamp()` function with an 'America/Toronto' timezone string?,"[{""content"": ""def test_create_from_timestamp_with_timezone_string():\n    d = pendulum.from_timestamp(0, \""America/Toronto\"")\n    assert d.timezone_name == \""America/Toronto\""\n    assert_datetime(d, 1969, 12, 31, 19, 0, 0)"", ""start_index"": 112005, ""end_index"": 112208}]",pendulum
What happens if the start date is later than the end date when initializing the date interval in this code?,"[{""content"": ""if start > end:\n            self._invert = True\n\n            if absolute:\n                end, start = start, end\n                _end, _start = _start, _end"", ""start_index"": 343399, ""end_index"": 343556}]",pendulum
What validation criteria are applied to the 'colors' field in the 'Validators' schema?,"[{""content"": ""class Validators(Schema):\n    email = fields.Email()\n    colors = fields.Str(validate=validate.OneOf([\""red\"", \""blue\""]))\n    age = fields.Integer(validate=[validate.Range(1, 99)])"", ""start_index"": 59725, ""end_index"": 59902}]",marshmallow
What modifications do the `post_load` and `post_dump` methods apply to the data when processing multiple items?,"[{""content"": ""@post_load(pass_collection=True, pass_original=True)\n            def post_load(self, data, original, many, **kwargs):\n                if many:\n                    ret = []\n                    for item, orig_item in zip(data, original):\n                        item[\""_post_load\""] = orig_item[\""sentinel\""]\n                        ret.append(item)\n                else:\n                    ret = data.copy()\n                    ret[\""_post_load\""] = original[\""sentinel\""]\n                return ret"", ""start_index"": 105313, ""end_index"": 105804}, {""content"": ""@post_dump(pass_collection=True, pass_original=True)\n            def post_dump(self, data, original, many, **kwargs):\n                if many:\n                    ret = []\n                    for item, orig_item in zip(data, original):\n                        item[\""_post_dump\""] = orig_item[\""sentinel\""]\n                        ret.append(item)\n                else:\n                    ret = data.copy()\n                    ret[\""_post_dump\""] = original[\""sentinel\""]\n                return ret"", ""start_index"": 105818, ""end_index"": 106309}]",marshmallow
How does the function `_isnumber_with_thousands_separator` determine if a given string is a number with thousand separators?,"[{""content"": ""_float_with_thousands_separators = re.compile(\n    r\""^(([+-]?[0-9]{1,3})(?:,([0-9]{3}))*)?(?(1)\\.[0-9]*|\\.[0-9]+)?$\""\n)"", ""start_index"": 196470, ""end_index"": 196588}, {""content"": ""def _isnumber_with_thousands_separator(string):\n    \""\""\""\n    >>> _isnumber_with_thousands_separator(\"".\"")\n    False\n    >>> _isnumber_with_thousands_separator(\""1\"")\n    True\n    >>> _isnumber_with_thousands_separator(\""1.\"")\n    True\n    >>> _isnumber_with_thousands_separator(\"".1\"")\n    True\n    >>> _isnumber_with_thousands_separator(\""1000\"")\n    False\n    >>> _isnumber_with_thousands_separator(\""1,000\"")\n    True\n    >>> _isnumber_with_thousands_separator(\""1,0000\"")\n    False\n    >>> _isnumber_with_thousands_separator(\""1,000.1234\"")\n    True\n    >>> _isnumber_with_thousands_separator(b\""1,000.1234\"")\n    True\n    >>> _isnumber_with_thousands_separator(\""+1,000.1234\"")\n    True\n    >>> _isnumber_with_thousands_separator(\""-1,000.1234\"")\n    True\n    \""\""\""\n    try:\n        string = string.decode()\n    except (UnicodeDecodeError, AttributeError):\n        pass\n\n    return bool(re.match(_float_with_thousands_separators, string))"", ""start_index"": 197090, ""end_index"": 198009}]",tabulate
"What behavior is exhibited when a default value is provided for attributes in the `C` class in the `test_default_decorator` method, and what method is called to provide a default for the 'y' attribute?","[{""content"": ""def test_default_decorator(self):\n        \""\""\""\n        Default decorator sets the default and the respective method gets\n        called.\n        \""\""\""\n\n        @attr.s\n        class C:\n            x = attr.ib(default=1)\n            y = attr.ib()\n\n            @y.default\n            def compute(self):\n                return self.x + 1\n\n        assert C(1, 2) == C()"", ""start_index"": 53944, ""end_index"": 54306}]",attrs
How does the hash computation caching behave for the classes marked as `Cached` and `Uncached` during multiple hash computations?,"[{""content"": ""def test_cache_hashing(self):\n        \""\""\""\n        Ensure that hash computation if cached if and only if requested\n        \""\""\""\n\n        class HashCounter:\n            \""\""\""\n            A class for testing which counts how many times its hash\n            has been requested\n            \""\""\""\n\n            def __init__(self):\n                self.times_hash_called = 0\n\n            def __hash__(self):\n                self.times_hash_called += 1\n                return 12345\n\n        Uncached = make_class(\n            \""Uncached\"",\n            {\""hash_counter\"": attr.ib(factory=HashCounter)},\n            unsafe_hash=True,\n            cache_hash=False,\n        )\n        Cached = make_class(\n            \""Cached\"",\n            {\""hash_counter\"": attr.ib(factory=HashCounter)},\n            unsafe_hash=True,\n            cache_hash=True,\n        )\n\n        uncached_instance = Uncached()\n        cached_instance = Cached()\n\n        hash(uncached_instance)\n        hash(uncached_instance)\n        hash(cached_instance)\n        hash(cached_instance)\n\n        assert 2 == uncached_instance.hash_counter.times_hash_called\n        assert 1 == cached_instance.hash_counter.times_hash_called"", ""start_index"": 263651, ""end_index"": 264821}]",attrs
What values and types are parameterized for testing the `test_prompt_required_with_required` function in the provided library?,"[{""content"": ""@pytest.mark.parametrize(\n    (\""prompt_required\"", \""required\"", \""args\"", \""expect\""),\n    [\n        (True, False, None, \""prompt\""),\n        (True, False, [\""-v\""], \""Option '-v' requires an argument.\""),\n        (False, True, None, \""prompt\""),\n        (False, True, [\""-v\""], \""prompt\""),\n    ],\n)\ndef test_prompt_required_with_required(runner, prompt_required, required, args, expect):\n    @click.command()\n    @click.option(\""-v\"", prompt=True, prompt_required=prompt_required, required=required)\n    def cli(v):\n        click.echo(str(v))\n\n    result = runner.invoke(cli, args, input=\""prompt\"")\n    assert expect in result.output"", ""start_index"": 67027, ""end_index"": 67641}]",click
How does the function calculate the difference between two days represented as '2 days after'?,"[{""content"": ""def test_diff_for_humans_other_and_future_days(today):\n    assert today.diff_for_humans(today.subtract(days=2)) == \""2 days after\"""", ""start_index"": 174162, ""end_index"": 174291}]",pendulum
What is the behavior of the `pendulum.set_locale()` method when called with a malformed locale string?,"[{""content"": ""def test_set_locale_malformed_locale(locale: str) -> None:\n    pendulum.set_locale(locale)\n\n    pendulum.set_locale(\""en\"")"", ""start_index"": 10692, ""end_index"": 10813}]",pendulum
How does the `ExampleSchema` handle serialization errors during the `dump` process using the decorated method?,"[{""content"": ""class ExampleSchema(Schema):\n        @decorator\n        def raise_value_error(self, item, **kwargs):\n            raise ValidationError({\""foo\"": \""error\""})\n\n    schema = ExampleSchema()\n    with pytest.raises(ValidationError) as exc:\n        schema.dump(object())\n    assert exc.value.messages == {\""foo\"": \""error\""}\n    schema.load({})"", ""start_index"": 129999, ""end_index"": 130329}]",marshmallow
What are the different object types for which the `test_get_value_from_object` function validates correct value retrieval for properties 'x' and 'y'?,"[{""content"": ""class PointNT(NamedTuple):\n    x: int | None\n    y: int | None\n"", ""start_index"": 96383, ""end_index"": 96446}, {""content"": ""class PointClass:\n    def __init__(self, x, y):\n        self.x = x\n        self.y = y\n"", ""start_index"": 96448, ""end_index"": 96534}, {""content"": ""class PointDict(dict):\n    def __init__(self, x, y):\n        super().__init__({\""x\"": x})\n        self.y = y\n"", ""start_index"": 96536, ""end_index"": 96643}, {""content"": ""@pytest.mark.parametrize(\n    \""obj\"", [PointNT(24, 42), PointClass(24, 42), PointDict(24, 42), {\""x\"": 24, \""y\"": 42}]\n)\ndef test_get_value_from_object(obj):\n    assert utils.get_value(obj, \""x\"") == 24\n    assert utils.get_value(obj, \""y\"") == 42\n"", ""start_index"": 96645, ""end_index"": 96884}]",marshmallow
What are the possible values for column and header alignment settings in the tabulate library?,"[{""content"": ""`colglobalalign` allows for global alignment of columns, before any\n        specific override from `colalign`. Possible values are: None\n        (defaults according to coltype), \""right\"", \""center\"", \""decimal\"",\n        \""left\"""", ""start_index"": 227164, ""end_index"": 227386}, {""content"": ""`colalign` allows for column-wise override starting from left-most\n        column. Possible values are: \""global\"" (no override), \""right\"",\n        \""center\"", \""decimal\"", \""left\"""", ""start_index"": 227392, ""end_index"": 227564}, {""content"": ""`headersglobalalign` allows for global headers alignment, before any\n        specific override from `headersalign`. Possible values are: None\n        (follow columns alignment), \""right\"", \""center\"", \""left\"""", ""start_index"": 227570, ""end_index"": 227773}, {""content"": ""`headersalign` allows for header-wise override starting from left-most\n        given header. Possible values are: \""global\"" (no override), \""same\""\n        (follow column alignment), \""right\"", \""center\"", \""left\"""", ""start_index"": 227779, ""end_index"": 227984}]",tabulate
How can you disable number parsing for specific columns when using the tabulate function?,"[{""content"": ""To completely disable number parsing (and alignment), use\n    `disable_numparse=True`. For more fine grained control, a list column\n    indices is used to disable number parsing only on those columns\n    e.g. `disable_numparse=[0, 2]` would disable number parsing only on the\n    first and third columns"", ""start_index"": 242147, ""end_index"": 242450}]",tabulate
What happens when comparison methods are called on subclasses in the provided Python code?,"[{""content"": ""def test_subclasses_cannot_be_compared(self):\n        \""\""\""\n        Calling comparison methods on subclasses raises a TypeError.\n\n        We use the actual operation so we get an error raised.\n        \""\""\""\n\n        @attr.s\n        class A:\n            a = attr.ib()\n\n        @attr.s\n        class B(A):\n            pass\n\n        a = A(42)\n        b = B(42)\n\n        assert a <= a\n        assert a >= a\n        assert not a < a\n        assert not a > a\n\n        assert (\n            NotImplemented\n            == a.__lt__(b)\n            == a.__le__(b)\n            == a.__gt__(b)\n            == a.__ge__(b)\n        )\n\n        with pytest.raises(TypeError):\n            a <= b\n\n        with pytest.raises(TypeError):\n            a >= b\n\n        with pytest.raises(TypeError):\n            a < b\n\n        with pytest.raises(TypeError):\n            a > b"", ""start_index"": 133795, ""end_index"": 134640}]",attrs
How does the __hash__ method behavior differ between cached and uncached instances in the test_cache_hashing?,"[{""content"": ""def test_cache_hashing(self):\n        \""\""\""\n        Ensure that hash computation if cached if and only if requested\n        \""\""\""\n\n        class HashCounter:\n            \""\""\""\n            A class for testing which counts how many times its hash\n            has been requested\n            \""\""\""\n\n            def __init__(self):\n                self.times_hash_called = 0\n\n            def __hash__(self):\n                self.times_hash_called += 1\n                return 12345\n\n        Uncached = make_class(\n            \""Uncached\"",\n            {\""hash_counter\"": attr.ib(factory=HashCounter)},\n            unsafe_hash=True,\n            cache_hash=False,\n        )\n        Cached = make_class(\n            \""Cached\"",\n            {\""hash_counter\"": attr.ib(factory=HashCounter)},\n            unsafe_hash=True,\n            cache_hash=True,\n        )\n\n        uncached_instance = Uncached()\n        cached_instance = Cached()\n\n        hash(uncached_instance)\n        hash(uncached_instance)\n        hash(cached_instance)\n        hash(cached_instance)\n\n        assert 2 == uncached_instance.hash_counter.times_hash_called\n        assert 1 == cached_instance.hash_counter.times_hash_called"", ""start_index"": 263651, ""end_index"": 264821}]",attrs
What exceptions are raised when attempting to modify attributes of a frozen class instance in the provided Python code?,"[{""content"": ""@attrs.frozen\n        class F:\n            x: str\n\n        f = F(1)\n\n        with pytest.raises(attrs.exceptions.FrozenInstanceError):\n            f.x = 2"", ""start_index"": 286622, ""end_index"": 286776}, {""content"": ""@attrs.frozen\n        class A:\n            a: int\n\n        @attrs.frozen\n        class B(A):\n            b: int\n\n        @attrs.define(on_setattr=attrs.setters.NO_OP)\n        class C(B):\n            c: int\n\n        assert B(1, 2) == B(1, 2)\n        assert C(1, 2, 3) == C(1, 2, 3)\n\n        with pytest.raises(attrs.exceptions.FrozenInstanceError):\n            A(1).a = 1\n\n        with pytest.raises(attrs.exceptions.FrozenInstanceError):\n            B(1, 2).a = 1\n\n        with pytest.raises(attrs.exceptions.FrozenInstanceError):\n            B(1, 2).b = 2\n\n        with pytest.raises(attrs.exceptions.FrozenInstanceError):\n            C(1, 2, 3).c = 3"", ""start_index"": 287251, ""end_index"": 287903}]",attrs
How does the partial parameter impact the loading of fields in the test_dict_nested_partial_propagated_to_nested method?,"[{""content"": ""def test_dict_nested_partial_propagated_to_nested(self):\n        class Child(Schema):\n            name = fields.String(required=True)\n            age = fields.Integer(required=True)\n\n        class Family(Schema):\n            children = fields.Dict(values=fields.Nested(Child))\n\n        payload = {\""children\"": {\""daughter\"": {\""name\"": \""Lucette\""}}}\n\n        for val in (True, (\""children.age\"",)):\n            result = Family(partial=val).load(payload)\n            assert result[\""children\""][\""daughter\""][\""name\""] == \""Lucette\""\n            result = Family().load(payload, partial=val)\n            assert result[\""children\""][\""daughter\""][\""name\""] == \""Lucette\""\n\n        for val in (False, (\""children.name\"",)):\n            with pytest.raises(ValidationError) as excinfo:\n                result = Family(partial=val).load(payload)\n            assert excinfo.value.args[0] == {\n                \""children\"": {\n                    \""daughter\"": {\""value\"": {\""age\"": [\""Missing data for required field.\""]}}\n                }\n            }\n            with pytest.raises(ValidationError) as excinfo:\n                result = Family().load(payload, partial=val)\n            assert excinfo.value.args[0] == {\n                \""children\"": {\n                    \""daughter\"": {\""value\"": {\""age\"": [\""Missing data for required field.\""]}}\n                }\n            }"", ""start_index"": 240114, ""end_index"": 241441}]",marshmallow
What does the `test_fields` method in the `TestFunctional` class verify for classes `C2` and `C2Slots`?,"[{""content"": ""@pytest.mark.parametrize(\""cls\"", [C2, C2Slots])\n    def test_fields(self, cls):\n        \""\""\""\n        `attr.fields` works.\n        \""\""\""\n        assert (\n            Attribute(\n                name=\""x\"",\n                alias=\""x\"",\n                default=foo,\n                validator=None,\n                repr=True,\n                cmp=None,\n                eq=True,\n                order=True,\n                hash=None,\n                init=True,\n                inherited=False,\n            ),\n            Attribute(\n                name=\""y\"",\n                alias=\""y\"",\n                default=attr.Factory(list),\n                validator=None,\n                repr=True,\n                cmp=None,\n                eq=True,\n                order=True,\n                hash=None,\n                init=True,\n                inherited=False,\n            ),\n        ) == attr.fields(cls)"", ""start_index"": 47725, ""end_index"": 48608}]",attrs
"In the context of the `forward` method implementation in Click, what happens to keyword arguments not originally provided?","[{""content"": ""def forward(self, cmd: Command, /, *args: t.Any, **kwargs: t.Any) -> t.Any:\n        \""\""\""Similar to :meth:`invoke` but fills in default keyword\n        arguments from the current context if the other command expects\n        it.  This cannot invoke callbacks directly, only other commands.\n\n        .. versionchanged:: 8.0\n            All ``kwargs`` are tracked in :attr:`params` so they will be\n            passed if ``forward`` is called at multiple levels.\n        \""\""\""\n        # Can only forward to other commands, not direct callbacks.\n        if not isinstance(cmd, Command):\n            raise TypeError(\""Callback is not a command.\"")\n\n        for param in self.params:\n            if param not in kwargs:\n                kwargs[param] = self.params[param]\n\n        return self.invoke(cmd, *args, **kwargs)"", ""start_index"": 284230, ""end_index"": 285037}]",click
What is the behavior when serializing a constant field with a specified value using the fields.Constant() in a Schema?,"[{""content"": ""def test_constant_field_serialization(self, user):\n        field = fields.Constant(\""something\"")\n        assert field.serialize(\""whatever\"", user) == \""something\"""", ""start_index"": 318365, ""end_index"": 318524}, {""content"": ""def test_constant_is_always_included_in_serialized_data(self):\n        class MySchema(Schema):\n            foo = fields.Constant(42)\n\n        sch = MySchema()\n        assert sch.dump({\""bar\"": 24})[\""foo\""] == 42\n        assert sch.dump({\""foo\"": 24})[\""foo\""] == 42"", ""start_index"": 318530, ""end_index"": 318788}, {""content"": ""def test_constant_field_serialize_when_omitted(self):\n        class MiniUserSchema(Schema):\n            name = fields.Constant(\""bill\"")\n\n        s = MiniUserSchema()\n        assert s.dump({})[\""name\""] == \""bill\"""", ""start_index"": 318794, ""end_index"": 319002}]",marshmallow
